image_id,class
3,S
4,S
6,S
7,S
13,E
19,E
20,E
30,S
32,E
33,E
34,S
35,S
37,E
38,E
40,S
42,S
44,E
45,S
47,E
48,S
49,S
50,S
53,S
54,S
57,S
58,E
61,S
63,S
65,E
66,E
68,S
69,E
70,S
71,E
73,E
74,S
82,E
83,S
85,S
86,S
87,E
88,E
89,S
92,S
93,S
97,S
99,E
101,S
108,E
118,E
126,S
151,S
156,S
161,S
162,S
165,S
190,S
195,E
196,S
197,E
198,E
207,E
210,E
214,S
217,E
219,E
222,E
223,S
237,E
238,S
251,E
268,S
271,S
272,S
273,S
281,S
292,S
294,S
296,E
298,S
300,S
302,E
303,S
304,E
305,S
306,E
307,S
309,S
310,E
313,S
314,E
315,E
316,S
318,E
319,E
321,S
323,S
324,S
326,E
327,E
329,S
338,S
339,E
341,E
344,S
349,E
353,S
354,E
356,S
358,E
359,S
363,E
365,S
366,S
368,E
370,E
372,S
373,E
377,E
378,S
382,S
385,E
387,E
388,E
389,S
390,S
391,S
394,E
395,E
396,S
398,S
399,E
401,E
402,S
404,S
407,S
408,E
409,S
410,S
413,S
416,E
417,S
419,S
421,E
423,E
426,S
428,E
429,E
432,S
433,S
435,E
436,E
439,S
440,E
441,E
445,E
446,S
447,E
451,S
453,E
456,E
461,E
462,E
463,E
464,E
466,S
468,E
469,S
473,E
474,S
475,E
479,S
480,S
481,S
482,S
484,S
485,E
487,S
488,E
490,S
492,E
493,E
495,S
496,S
497,E
500,E
502,S
503,E
506,E
507,E
510,S
511,E
512,S
513,E
515,S
516,S
524,S
525,S
527,E
528,S
534,S
536,E
538,S
539,S
540,S
543,E
546,E
547,S
548,S
549,S
550,S
554,S
555,E
557,S
558,E
561,S
563,E
564,S
567,S
568,S
569,E
570,S
572,S
574,E
575,E
577,E
579,S
581,E
582,E
583,E
585,S
586,E
587,S
588,S
590,S
591,E
594,E
595,S
596,S
597,S
600,S
603,E
606,E
607,E
609,S
610,E
614,E
616,E
618,S
619,S
623,S
624,S
625,E
626,S
628,S
629,S
633,E
634,S
636,S
639,S
640,S
641,E
642,S
643,S
644,E
645,S
647,E
648,S
650,S
653,S
654,E
656,E
658,E
661,S
663,E
664,S
665,S
667,S
668,S
669,S
670,E
673,E
675,S
681,S
683,E
686,S
688,S
689,S
690,S
693,S
696,E
698,S
699,S
700,S
702,S
703,S
704,S
705,S
708,S
714,E
715,E
717,E
718,S
720,E
721,S
725,S
726,S
727,S
728,S
729,S
731,S
732,S
734,E
735,E
736,S
739,E
740,E
741,S
744,S
746,E
747,S
748,E
749,E
751,E
753,S
754,S
755,S
756,E
758,E
759,E
760,E
763,E
764,E
765,S
768,E
769,E
770,S
772,S
773,E
774,E
775,E
776,S
777,S
778,S
781,S
782,S
783,S
784,E
785,S
787,S
788,S
789,S
792,S
795,S
796,S
799,S
804,E
805,S
812,S
814,S
815,S
819,E
820,E
824,E
826,E
828,S
833,E
834,E
838,E
840,E
841,S
842,S
843,S
845,E
