image_id,class
110581,0
53890,0
268229,0
69751,0
294591,0
287069,0
58579,0
49874,0
17922,1
7030,0
88632,0
47929,1
44842,0
103189,0
275895,0
83127,1
93624,0
35072,1
237760,0
35187,0
153996,1
75584,1
230312,1
54739,0
41947,1
139079,0
192483,1
270378,0
62669,0
35453,0
72865,0
129673,1
93412,0
183971,0
66137,1
99416,0
194749,0
182210,0
108259,0
55133,0
80923,0
82262,1
45038,0
6736,0
57679,1
271566,0
293688,0
187144,1
260721,1
140927,1
270370,0
86807,1
9279,0
158752,1
257076,1
243993,0
69142,0
69815,1
9377,1
197152,0
169169,1
67008,1
135183,0
39502,1
85832,0
41003,1
95886,0
98237,1
174592,0
64111,1
154875,1
116420,0
45466,0
99520,0
63084,0
192211,1
71695,0
100028,0
36659,1
246902,0
268021,0
53619,0
111240,1
50435,1
79967,0
65439,0
53080,0
96288,0
57182,1
62219,0
126408,0
174714,1
257762,0
205784,0
96453,0
37696,0
41188,1
94942,0
74553,0
166720,1
256530,1
62377,0
70210,0
64969,1
88916,0
15867,0
54770,0
11323,0
52069,0
5296,0
7391,0
129417,1
111885,1
74613,1
20555,1
59011,0
92742,0
868,1
63812,0
57773,0
74542,1
67188,0
62842,1
79383,1
96578,0
49523,0
67907,0
204418,1
98547,1
79373,0
275318,0
239281,0
69790,0
262931,0
75471,0
198410,0
90459,0
89534,1
127390,0
93544,1
37401,1
127838,0
95063,0
99455,0
125597,1
54334,0
214777,0
163498,0
294945,0
111495,1
240002,0
242092,1
9879,0
207909,1
139800,1
249325,0
161851,1
81624,0
71377,0
30997,0
141466,0
55893,0
291007,0
21636,0
85716,0
96675,1
21303,0
127042,0
37250,0
85896,0
122599,1
63500,0
50791,1
84412,0
263180,0
75916,0
56131,0
213369,0
77614,1
163418,0
259728,0
269170,0
114277,1
76184,0
199578,1
203483,0
249435,1
190867,0
84813,0
44584,0
37006,0
56363,1
46037,1
45550,0
219412,0
12182,0
211680,1
33007,1
89464,0
214008,0
95160,0
132637,0
289212,1
64569,0
226480,1
255540,0
201426,1
70424,1
50711,0
291154,0
43977,1
184932,0
48493,0
87919,0
23426,1
18074,1
49510,0
55711,0
256734,1
233542,0
84846,0
175794,0
88908,1
69726,0
90405,0
108416,0
73638,0
88029,0
236251,1
3931,0
71499,0
48089,0
49722,0
209189,1
69391,1
81833,0
43632,1
83966,0
172039,0
75145,0
124771,0
25484,0
46743,0
224699,0
5179,0
236066,1
216656,1
293067,1
196914,1
53625,0
241907,0
116091,0
66005,1
263666,1
98396,0
34945,0
53383,0
70250,1
52086,0
280122,0
31998,1
294079,1
98003,1
161291,1
101533,0
207614,1
77359,1
226192,0
9814,0
39506,1
66232,1
97347,0
150864,1
164861,0
49808,0
92679,1
63909,1
194003,1
224141,0
53262,1
87304,1
7669,0
192909,0
61002,0
7522,0
136662,0
39886,0
74092,1
245126,1
43724,0
33116,1
51427,0
80295,0
235623,1
96942,1
57907,0
124115,0
49155,1
259943,0
37536,1
125593,0
261738,0
61527,1
101335,1
94033,0
67352,1
46552,1
168917,0
99775,0
63694,1
69561,1
260248,0
53073,0
71771,1
73013,0
47592,1
75653,1
41646,1
280353,1
65714,0
31157,0
20187,0
234261,1
118884,1
36969,0
200993,1
284980,0
93536,0
61957,1
228047,0
56546,0
36786,1
60319,1
221452,0
43984,1
127586,1
70940,1
258914,0
20053,1
44491,0
287626,0
54666,0
36164,1
46578,1
132143,1
294458,0
83621,0
70476,0
227124,0
119460,1
95877,0
290046,0
158297,0
69495,0
33726,0
91283,0
40818,0
22340,1
31132,0
250393,0
84644,0
127253,1
78963,1
64011,0
51980,1
159869,1
209540,0
90294,1
9695,1
159218,0
63609,0
225784,0
65703,0
118359,0
64132,1
70007,0
101320,1
32082,1
54947,0
71323,0
153875,0
21169,1
199911,0
49352,1
258323,0
19560,0
98197,1
71299,1
75542,0
48392,0
248323,0
59120,0
109396,0
219270,1
157686,1
292302,0
52146,0
52994,0
235633,1
271196,0
24073,0
270946,0
134544,1
95993,1
143694,0
270834,1
163626,1
42142,0
114001,1
42378,1
81115,0
224769,0
92387,1
71370,1
64203,0
229338,1
168535,0
76787,1
62340,0
166852,0
169602,1
75211,0
53883,0
44444,0
131318,0
814,0
238672,0
222452,0
91328,0
99019,1
231387,0
209686,0
294741,0
217123,0
110177,1
39158,1
138670,1
175578,1
270977,1
48304,0
6830,0
84027,0
47837,0
40753,0
75275,0
151382,0
3010,0
76250,0
152944,1
171582,0
40653,1
195586,1
264835,0
36614,0
73707,0
77820,0
235490,0
36666,1
68600,1
81778,0
69545,1
76373,0
227846,0
265450,0
55810,0
55076,0
59424,1
46905,1
53023,0
81978,1
235372,0
75130,0
97626,1
177411,1
242108,0
53422,0
74632,1
46020,1
70392,0
78047,1
65806,0
10970,0
232607,0
60886,0
207515,1
61491,1
290682,1
40267,1
38155,1
8722,0
223084,1
131422,0
76061,0
288115,0
7334,0
84046,1
40158,0
123717,1
159832,1
43747,1
86584,0
7126,0
69037,1
9793,0
130459,0
213281,0
229719,0
64374,1
32358,1
44263,0
97321,1
41523,1
99143,0
103760,0
281253,0
48706,1
136238,1
181127,0
141331,0
143481,1
92449,0
247275,1
100742,0
225993,1
66988,0
91690,0
164698,1
66552,0
272088,0
148875,1
226817,0
99954,0
189174,1
164046,1
243659,0
30423,0
40737,1
122378,1
66465,0
110818,1
6595,0
53467,1
8173,1
194696,0
76977,1
65762,1
227509,0
78596,0
14535,1
272579,0
206586,0
8918,1
38726,0
38773,1
64743,0
34379,0
18471,1
196329,0
139661,1
29888,1
47167,1
91455,1
74913,1
89167,0
172062,0
37837,0
82347,0
91819,0
236252,1
40965,1
76857,0
50291,1
288234,0
136466,0
58918,0
34811,0
56843,0
