image_id,class
282080,0
39869,1
99911,0
11827,0
89163,0
102979,1
40486,1
211993,0
51812,1
8328,0
166470,0
88146,0
85792,0
6943,0
58487,0
26179,0
211704,1
267154,0
206291,1
2761,0
251044,0
169889,1
97259,1
96418,1
93990,1
240536,1
37056,1
51227,0
81120,1
265506,1
209083,0
39724,0
63347,1
71942,0
93300,0
16294,0
62391,0
50020,0
245594,0
69742,1
99681,0
53701,0
8516,1
144617,0
44418,0
269573,1
241503,0
212192,1
232830,0
5365,0
188273,0
39511,0
37583,0
177420,0
229615,1
87626,0
222927,0
136002,0
259491,0
68036,0
76179,0
68581,1
79746,1
293445,0
58271,0
270789,0
89396,1
218656,1
55184,0
115350,0
69399,1
233165,1
52708,1
23483,0
78072,1
131038,1
92103,0
40000,1
94818,1
244835,0
24420,1
30001,0
102087,0
21744,0
232122,0
70007,0
188711,0
86224,0
99675,0
86780,0
96501,0
187049,0
83818,0
37282,1
217162,1
92752,1
31696,0
106203,1
34870,1
72978,1
131018,1
40776,0
13034,0
73044,0
122778,1
57575,1
54531,0
86788,0
55272,0
85955,1
9159,0
49924,0
31402,0
58730,1
49886,0
44848,1
139131,0
57773,0
59680,0
137394,1
205803,0
40364,0
30172,0
70210,0
49756,0
86819,0
13313,1
4845,0
133627,1
261440,0
52476,0
211541,1
58711,1
43974,1
5280,0
9476,0
56028,1
52299,0
188333,0
58253,0
25606,0
96250,0
200344,1
174842,0
81140,0
134729,0
200133,0
76798,0
78433,0
47434,0
198602,0
218435,0
184344,1
14311,0
75456,0
25472,1
60290,0
89026,0
97741,0
31218,0
39660,0
112872,0
209408,0
195743,1
37899,0
2572,0
91861,0
97120,0
168324,0
97196,0
241363,0
213114,0
44264,1
95155,0
54868,0
19767,0
89452,0
59489,1
33912,1
107742,1
43819,1
107744,0
65137,0
89998,0
120633,0
117235,1
33477,0
81064,1
270720,0
242134,1
169260,0
99929,0
32467,0
129425,0
94224,0
70159,1
54447,1
52935,0
55694,0
99369,0
39129,1
183740,0
111422,1
4274,0
5007,0
89886,1
79641,1
48414,0
68569,1
58583,0
79752,0
62308,1
77390,0
99811,0
90500,1
78268,1
98208,1
159878,1
255658,1
31223,0
54431,0
212680,1
3976,0
99468,1
84797,0
181661,0
155913,1
66801,0
236169,0
54773,0
90318,0
118370,0
113232,1
158454,0
57205,0
161852,0
102607,0
96942,1
38658,0
250307,0
7134,0
89354,1
68033,0
69300,0
80542,0
30712,0
291600,0
958,0
286692,1
243568,0
213455,1
155985,0
180746,0
30384,0
66222,1
129573,1
57716,0
148553,1
232166,0
47749,0
286208,1
98786,0
256824,1
77103,0
212260,0
121262,1
37496,0
124045,1
12182,0
55587,1
198862,1
134816,1
72205,0
66997,0
261303,0
253920,0
98487,0
203622,0
164392,0
111055,1
41856,0
39855,1
247300,1
81966,1
84453,0
34128,0
53610,0
177524,1
80715,1
246540,0
47668,1
212548,0
99670,0
50705,0
73223,0
59071,1
166746,0
60084,1
260315,0
138622,1
256422,0
74439,0
156773,0
155929,0
171041,0
53814,0
82183,1
191510,0
176121,0
221733,0
43637,0
53903,0
81624,0
173245,0
167081,0
203132,0
253954,0
149515,0
3167,1
8513,0
62185,1
39358,0
65021,1
23287,0
62203,0
50460,0
254406,0
46620,0
341,1
77347,0
57444,1
158986,0
159931,1
633,1
174304,1
93601,0
60387,0
35546,1
55042,0
143916,1
76408,1
115353,0
66032,0
49331,0
66084,1
45510,0
44492,0
95870,0
103573,0
99962,0
52939,1
254755,0
68894,1
4373,1
59856,0
216996,0
61434,0
105706,0
206905,0
56972,0
34778,0
98100,1
24329,0
38855,0
8741,1
54690,0
143823,1
61126,1
168296,0
47397,0
94517,1
24872,0
49226,1
137669,0
155882,0
107088,1
32944,1
71122,1
157060,1
70587,0
223352,0
56547,0
87425,0
74905,1
80717,0
67508,1
7631,0
34618,1
140158,1
180986,0
172982,0
201267,0
56782,0
186107,1
79253,1
72823,0
262839,0
293552,0
79538,0
53282,0
35594,1
8503,1
19271,0
150049,0
32647,1
193052,1
91423,0
287205,0
53556,1
46907,1
57556,0
115361,1
206462,0
85430,1
75247,1
81250,1
157169,0
66850,1
264821,0
115879,1
239233,0
48140,0
88361,1
87813,0
53376,0
293955,0
75178,1
47728,0
210638,0
34194,0
208335,0
250774,1
82098,0
261377,1
77076,0
76547,0
293959,1
273539,0
51801,0
58374,1
222320,0
46573,0
66849,1
55527,0
91681,1
52915,0
67439,1
79058,1
32865,1
192415,0
71001,1
242406,0
135898,1
33669,0
117327,0
20674,0
79026,1
199336,0
5103,1
199911,0
30027,0
15816,1
39603,0
119982,0
134984,0
59664,1
70200,0
270346,0
15758,0
73167,0
242760,0
91703,1
233369,1
285532,0
57080,1
62947,1
75180,1
293962,0
136394,0
124875,1
92874,1
64064,0
4583,1
90353,0
256207,0
118148,1
268340,0
94844,1
78603,1
105886,0
253019,0
294667,1
3790,1
143224,0
112236,0
26237,1
48122,0
55895,0
7550,1
261131,0
101909,1
268651,0
70483,0
153256,0
60171,0
270611,0
221994,0
188771,0
153295,1
208302,0
50416,1
258715,1
81130,1
94195,1
88934,0
119070,1
46797,0
139942,0
74602,1
83642,0
36219,0
48508,1
37363,1
40876,0
199038,1
28179,1
226662,1
45001,1
31751,1
91704,0
59449,0
289864,0
207792,0
80564,0
63508,0
79525,0
53562,0
28836,1
79433,0
51238,0
167502,0
31025,1
99714,0
157446,1
61456,0
85832,0
39994,0
295290,1
294702,0
42293,0
204583,0
4302,0
214615,1
9011,0
145026,1
47013,0
218648,0
231832,0
209289,1
49703,0
209079,0
119380,1
273532,0
226373,0
137560,0
235133,1
94819,0
267750,0
243235,0
90270,0
82049,1
140535,1
65895,0
2568,1
186696,0
245442,0
175197,0
213015,0
64377,0
108435,0
189051,0
3947,1
8864,1
88377,0
69434,1
119177,0
134600,1
164698,1
99611,0
72343,0
228234,1
40359,0
72982,0
283517,0
70138,0
106039,1
133900,1
51990,1
40287,0
155419,0
153274,0
40632,0
98790,0
90936,0
68468,0
219084,0
230319,0
62835,0
97655,0
227882,0
38609,0
203954,1
68320,1
75909,1
36003,0
37982,1
83936,0
110745,0
237752,1
119217,1
67545,0
53365,1
49727,0
51628,0
222370,1
3496,1
57087,0
95481,0
50904,0
165084,0
45402,1
66625,1
4444,0
56284,0
57249,0
180100,1
55520,1
44680,1
27296,0
64010,0
258497,0
2010,0
59168,0
57329,0
95358,0
31950,1
64255,0
117932,0
84999,0
44331,0
173417,0
63541,0
30257,0
167470,1
99085,0
88113,0
265697,0
207718,0
66509,1
162425,0
90533,0
7313,0
232607,0
127076,0
73599,0
35330,0
74682,1
73792,1
32063,0
38601,0
70248,1
78334,0
15296,0
194298,1
239525,1
231837,0
27068,0
27520,0
81706,0
259710,0
263752,0
87698,1
46156,1
168815,0
263401,0
41299,0
81419,0
252159,0
36383,0
69401,1
89936,1
193235,0
24822,0
139079,0
131389,1
90026,0
49910,1
67181,1
65419,1
57900,0
36788,1
34733,1
250187,0
129697,0
208920,0
25142,1
76226,1
25637,0
168916,1
54512,1
262011,0
154141,0
233547,0
51627,0
86922,0
82252,0
33479,1
20335,1
24160,1
82817,1
41359,0
62280,0
257163,1
31078,0
200471,0
75882,0
49054,0
89610,1
172534,0
289053,0
47121,0
39060,1
73318,0
224017,1
89753,0
53222,1
36292,0
32070,0
60306,0
181074,0
113654,1
176903,0
127236,1
31529,0
75275,0
78618,0
31377,0
240387,1
74312,1
200258,0
193455,1
96002,0
46743,0
96631,1
259118,0
259513,0
